city,Branch,Latitude,Longitude,Rating,Review Text,Review Date
Riyadh,Al Yasmin,24.8074386,46.661363,3,,قبل شهر
Riyadh,Al Yasmin,24.8074386,46.661363,1,عادي جدا مافيه فكره بالطعم مارجع له بالتوفيق,قبل شهر
Riyadh,Al Yasmin,24.8074386,46.661363,5,,قبل شهر
Riyadh,Al Yasmin,24.8074386,46.661363,5,المنتجات جميله والمكان صغير وجميل,قبل شهر
Riyadh,Al Yasmin,24.8074386,46.661363,5,الذ شي بالحياااة لذيذ لذيذ وش اقول وش اخلي قهوه اليوم تعتبر جيده الوافل الدبل الشوكلت مره لذيذ  الكريم بروليه الذ شي بالحيااااة وضروري تذقون الكليجا,قبل شهر
Riyadh,Al Yasmin,24.8074386,46.661363,5,,قبل شهر
Riyadh,Al Yasmin,24.8074386,46.661363,5,جوه جميل قهوته بطلة مكانه مريح رغم صغره يشتهر بوالوفل ويضبطه بأربع نكهات وفقك الله وشكرا لمكانك المرتب والنعامل الراقي,قبل شهر
Riyadh,Al Yasmin,24.8074386,46.661363,5,,قبل شهر
Riyadh,Al Yasmin,24.8074386,46.661363,5,"عجبني اسالو عن نكهة الشهر
انا اخذت وافل تشيز كيك 10/10
وافل كلاسيك 8/10 احس يحتاج صوص
بلاك كوفي 8/10",قبل شهر
Riyadh,Al Yasmin,24.8074386,46.661363,1,يجب أن يراجع موضوع الوافل - الجودة بدأت في الإنخفاض . وان من عملائها القدامى . كذلك القهوة يجب أن يراجع جودتها . فرع الياسمين,قبل شهر
Riyadh,Al Yasmin,24.8074386,46.661363,5,"تقيمي كتبته بعد ماجربت اكثر من نكهه .. الوافل مقرمش من الخارج وهش من الداخل، وطعمه لذيذ ومتوازن،.
نكهة البينت بتر تفوز 👌 وكان التقديم جميل جدًا والكمية ممتازة.

المكان نظيف وجلساته مريحة، .
والأسعار مناسبة مقارنة بالجودة والطعم ..",تاريخ التعديل: قبل شهر
Riyadh,Al Yasmin,24.8074386,46.661363,5,,قبل شهر
Riyadh,Al Yasmin,24.8074386,46.661363,5,,قبل شهر
Riyadh,Al Yasmin,24.8074386,46.661363,5,مره حبيت المكان والوافل حلو,قبل شهر
Riyadh,Al Yasmin,24.8074386,46.661363,1,"انا أسفه لنفسي قهوتهم مخيبه للآمال وحلاهم برابيس والشرهه على فاهم اللي ذبحنا به التوصيه
كتجربه جرب لكن أتحداك اذا أنت ذويق قهوة ترجع لهم 💔
ماعندهم اسبريسوا سراميك ماعندهم كورتادوا ماعندهم V60",قبل شهر
Riyadh,Al Yasmin,24.8074386,46.661363,5,,قبل شهر
Riyadh,Al Yasmin,24.8074386,46.661363,2,"ملاحظاتي كتالي -
النكهات المرغوبه يسوونها مقدما ويقدموها لك باردة
-الي يشتغلون يفتقرون للمهارة فحتى وان طلبتهم يغيروه يبداون يعاملونك كانك بشوارع الهند ويطنشوك

زياراتي مكرره لفلوتد من بعد ما جو الشركه الي اشتغل فيها
لكن للاسف هذا الفرع غير نظرتي للمكان واخر زيارة
اولا لمن تطلب نكهة الشهر تجيك باردة لانها الاكثر طلب ولا علمتهم يسوون نفسهم ما يسمعون لين يطقون كبدك
ثانيا كذا مرة اجيه ولمن اقوله حط لي ستامب لبرنامج الولاء يحط لي واحد رغم اني طالب خمس وافلز على الاقل كل مرة لعائلتي واقله حط لي اكثر يقول ما يسمح وامشيها
-لان بكل الاماكن الي اروح لها ويكون فيها موظفيين سعوديين يحطون لي حتى دون ما اكلمهم-
لكن باخر زيارة ما حط خير شر😅 قلت له حط قال ما ينفع اقوله ليه؟ خربط لي بالكلام واصريت اعرف السبب وقال حاسب وحاسبت وانا اناقشه قال الفاتورة طلعت!! مقدر ما ينفع

بعدها سووا نفسه ما يسمع زي باقي الستاف عشان ما اظلمه
*ملاحظه * كان باقيلي بس اثنين واوصل لنهاية الستامب كارد-
رجاءا ارجعوا للموظفين السعوديين او على الاقل عمالة اجتازت الفحص الطبي السمعي
يعني المكان حده صغير وضيق والقهوة عاديه ما بطقها مشوار عشان وافل بارد وخدمة عملاء سيئه",قبل شهر
Riyadh,Al Yasmin,24.8074386,46.661363,5,جربت نكهة الشهر بالفول السوداني والجام لذيذه وقهوتهم حلوه 🤍🤍,قبل شهر
